ID,language,title,abstract,lowerCorner,upperCorner,link,download,protocol,source,subject
"MPOG:BRA_BH080_P","pt","BRA_BH080_P(MPOG:BRA_BH080_P)","","-73.0855504879892 -33.66933350828903","-34.8342237464841 4.131492433201468","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:BRA_BH080_P","WFS","INDE","features,BRA_BH080_P"
"MPOG:BRA_BH140_L","pt","BRA_BH140_L(MPOG:BRA_BH140_L)","","-79.9825349822566 -45.9997004754709","-34.7895622456156 11.0822321851768","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:BRA_BH140_L","WFS","INDE","BRA_BH140_L,features"
"MPOG:BRA_BH140_P","pt","BRA_BH140_P(MPOG:BRA_BH140_P)","","-78.0013723239671 -33.43392045239154","-34.9571357141014 8.000013626081893","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:BRA_BH140_P","WFS","INDE","BRA_BH140_P,features"
"MPOG:BRA_FA000_L","pt","BRA_FA000_L(MPOG:BRA_FA000_L)","","-73.9860285970506 -33.751182484539996","-28.839307328441 5.264530888986015","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:BRA_FA000_L","WFS","INDE","features,BRA_FA000_L"
"MPOG:BRA_FA001_L","pt","BRA_FA001_L(MPOG:BRA_FA001_L)","","-73.990947 -33.750860999128","-32.378889 5.272224999827106","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:BRA_FA001_L","WFS","INDE","BRA_FA001_L,features"
"MPOG:BRA_FA001_P","pt","BRA_FA001_P(MPOG:BRA_FA001_P)","","-73.990947 -33.750860999128","-32.378889 5.272224999827106","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:BRA_FA001_P","WFS","INDE","features,BRA_FA001_P"
"MPOG:BRA_FA002_P","pt","BRA_FA002_P(MPOG:BRA_FA002_P)","","-73.9913915619595 -33.75208126972389","-32.3924574827765 5.271789907204701","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:BRA_FA002_P","WFS","INDE","features,BRA_FA002_P"
"MPOG:BRA_FA125_N","pt","BRA_FA125_N(MPOG:BRA_FA125_N)","","-72.77 -33.689193370128784","-34.8272501748898 4.478883809852889","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:BRA_FA125_N","WFS","INDE","features,BRA_FA125_N"
"MPOG:BRA_FA210_P","pt","BRA_FA210_P(MPOG:BRA_FA210_P)","","-73.9901411809999 -33.60318288512987","-32.3923411809999 5.27211711382719","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:BRA_FA210_P","WFS","INDE","features,BRA_FA210_P"
"MPOG:BRA_GB001_N","pt","BRA_GB001_N(MPOG:BRA_GB001_N)","","-72.77 -32.079999999150466","-32.42 3.8399999998737373","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:BRA_GB001_N","WFS","INDE","features,BRA_GB001_N"
"MPOG:BRA_ZZ001_L","pt","BRA_ZZ001_L(MPOG:BRA_ZZ001_L)","","-74.54879863861349 -34.891196964194975","-34.8553811070221 10.502025766774988","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:BRA_ZZ001_L","WFS","INDE","features,BRA_ZZ001_L"
"MPOG:BRA_ZZ001_N","pt","BRA_ZZ001_N(MPOG:BRA_ZZ001_N)","","-69.5668544292817 -32.571369488933456","-35.473868 3.844404458873223","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:BRA_ZZ001_N","WFS","INDE","features,BRA_ZZ001_N"
"BNDES:TOTAL_2013","pt","CNAES_Por_Municipio_2013(BNDES:TOTAL_2013)","","-67.4343185424805 -33.75201415928419","-32.3924560546875 4.884584426719569","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:TOTAL_2013","WFS","INDE","TOTAL_2013,features"
"BNDES:TOTAL_2014","pt","CNAES_Por_Municipio_2014(BNDES:TOTAL_2014)","","-67.455322265625 -33.75201415928419","-32.3924560546875 4.884584426719569","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:TOTAL_2014","WFS","INDE","TOTAL_2014,features"
"BNDES:CNAES_por_Municipio_2009","pt","CNAES_por_Municipio_2009(BNDES:CNAES_por_Municipio_2009)","","-73.9913915619595 -33.7520136933788","-32.3924574827765 4.43665587655256","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:CNAES_por_Municipio_2009","WFS","INDE","CNAES_por_Municipio_2009,features"
"BNDES:CNAES_por_Municipio_2010","pt","CNAES_por_Municipio_2010(BNDES:CNAES_por_Municipio_2010)","","-73.9913915619595 -33.7520136933788","-32.3924574827765 4.88458432699979","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:CNAES_por_Municipio_2010","WFS","INDE","features,CNAES_por_Municipio_2010"
"BNDES:CNAES_por_Municipio_2011","pt","CNAES_por_Municipio_2011(BNDES:CNAES_por_Municipio_2011)","","-73.9913915619595 -33.7520136933788","-32.3924574827765 4.88458432699979","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:CNAES_por_Municipio_2011","WFS","INDE","features,CNAES_por_Municipio_2011"
"BNDES:CNAES_por_Municipio_2012","pt","CNAES_por_Municipio_2012(BNDES:CNAES_por_Municipio_2012)","","-73.9913915619595 -33.7520136933788","-32.3924574827765 4.88458432699979","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:CNAES_por_Municipio_2012","WFS","INDE","CNAES_por_Municipio_2012,features"
"MPOG:COREDEs_2011","pt","COREDEs_2011(MPOG:COREDEs_2011)","","-57.644 -33.752","-49.692 -27.081","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:COREDEs_2011","WFS","INDE",""
"MPOG:cosiplan_tuneis","pt","COSIPLAN Túneis(MPOG:cosiplan_tuneis)","","-46.64720390119731 -23.975948830740386","-46.50662729970569 -23.935308436773685","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:cosiplan_tuneis","WFS","INDE","cosiplan_tuneis,features"
"MDS:CRAS2012","pt","CRAS2012(MDS:CRAS2012)","Localização dos CRAS segundo Censo SUAS 2012","-72.8975986 -33.6905392","-32.4113068 4.5999664","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MDS:CRAS2012","WFS","INDE","cras_2012,features"
"BNDES:CS_2009","pt","CS_2009(BNDES:CS_2009)","","-73.9913915619595 -33.7520136933788","-32.3924574827765 4.43665587655256","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:CS_2009","WFS","INDE","features,CS_2009"
"BNDES:CS_2010","pt","CS_2010(BNDES:CS_2010)","","-73.9913915619595 -33.7520136933788","-32.3924574827765 4.88458432699979","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:CS_2010","WFS","INDE","CS_2010,features"
"BNDES:CS_2011","pt","CS_2011(BNDES:CS_2011)","","-73.9913915619595 -33.7520136933788","-32.3924574827765 4.88458432699979","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:CS_2011","WFS","INDE","CS_2011,features"
"BNDES:CS_2012","pt","CS_2012(BNDES:CS_2012)","","-73.9913915619595 -33.7520136933788","-32.3924574827765 4.88458432699979","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:CS_2012","WFS","INDE","CS_2012,features"
"BNDES:CS_2013","pt","CS_2013(BNDES:CS_2013)","","-67.5288314819336 -33.75201415928419","-32.3924560546875 4.884584426719569","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:CS_2013","WFS","INDE","CS_2013,features"
"BNDES:CS_2014","pt","CS_2014(BNDES:CS_2014)","","-69.65341863579552 -34.138380145144225","-30.244088078071684 5.270950412579607","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:CS_2014","WFS","INDE","features,CS_2014"
"MPOG:CTI","pt","CTI(MPOG:CTI)","","-60.016 -3.097","-60.015 -3.096","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:CTI","WFS","INDE",""
"MDS:CoberturaBolsaFamilia2012","pt","Cobertura Bolsa Familia 2012(MDS:CoberturaBolsaFamilia2012)","","-67.5979309082031 -33.7520637512207","-28.8358821868896 5.2718071937561","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MDS:CoberturaBolsaFamilia2012","WFS","INDE","features,Cobertura da Bolsa Família 2012"
"MPOG:Combustiveis_Dutos","pt","Combustiveis_Dutos(MPOG:Combustiveis_Dutos)","","-47.136 -23.927","-44.014 -22.675","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:Combustiveis_Dutos","WFS","INDE",""
"MPOG:Combustiveis_Refinaria","pt","Combustiveis_Refinaria(MPOG:Combustiveis_Refinaria)","","-49.352 -25.558","-35.011 -2.94","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:Combustiveis_Refinaria","WFS","INDE",""
"MPOG:Combustiveis_Renovaveis","pt","Combustiveis_Renovaveis(MPOG:Combustiveis_Renovaveis)","","-58.144909999999996 -18.61691","-40.81408999999999 -1.28609","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:Combustiveis_Renovaveis","WFS","INDE",""
"MPOG:Creches_e_Preescolas","pt","Creches_e_Preescolas(MPOG:Creches_e_Preescolas)","","-74.031543408 -34.713043408000004","-33.650456592 5.668043408000006","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:Creches_e_Preescolas","WFS","INDE",""
"MPOG:Desenvolvimento_Produtivo","pt","Desenvolvimento_Produtivo(MPOG:Desenvolvimento_Produtivo)","","-51.178 -29.894","-34.977 -3.892","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:Desenvolvimento_Produtivo","WFS","INDE",""
"MPOG:Educacao_Superior","pt","Educacao_Superior(MPOG:Educacao_Superior)","","-54.584 -30.039","-46.528 -23.645","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:Educacao_Superior","WFS","INDE",""
"MPOG:Energia_Eletrica_UTE","pt","Energia_Eletrica_UTE(MPOG:Energia_Eletrica_UTE)","","-53.683 -31.552","-46.382 -23.845","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:Energia_Eletrica_UTE","WFS","INDE",""
"MPOG:Energia_Eletrica_UTN","pt","Energia_Eletrica_UTN(MPOG:Energia_Eletrica_UTN)","","-44.47 -23.009","-44.46 -23.008","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:Energia_Eletrica_UTN","WFS","INDE",""
"MPOG:Superior_20110930_pt","pt","Ensino Superior(MPOG:Superior_20110930_pt)","","-72.676 -33.524","-34.863 3.84","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:Superior_20110930_pt","WFS","INDE",""
"MPOG:EPT_20110930_pt","pt","Ensino Técnico(MPOG:EPT_20110930_pt)","","-72.676 -32.033","-34.829 3.645","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:EPT_20110930_pt","WFS","INDE",""
"MPOG:Equipamentos_Estradas_Vicinais","pt","Equipamentos_Estradas_Vicinais(MPOG:Equipamentos_Estradas_Vicinais)","","-73.738086772 -36.08808677199999","-33.68491322800001 3.9650867719999976","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:Equipamentos_Estradas_Vicinais","WFS","INDE",""
"ICA:EspacoAereoPerigoso17set15","pt","EspacoAereoPerigoso17set15(ICA:EspacoAereoPerigoso17set15)","","-49.917166667 -26.717166667","-38.417 -3.700333333","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=ICA:EspacoAereoPerigoso17set15","WFS","INDE","EspacoAereoPerigoso17set15,features"
"ICA:EspacoAereoProibido17set15","pt","EspacoAereoProibido17set15(ICA:EspacoAereoProibido17set15)","","-57.82004251041 -30.0066261743782","-34.832 -1.56476509864145","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=ICA:EspacoAereoProibido17set15","WFS","INDE","EspacoAereoProibido17set15,features"
"ICA:EspacoAereoRestrio17set15","pt","EspacoAereoRestrio17set15(ICA:EspacoAereoRestrio17set15)","","-66.917166667 -31.666666667","-34.042635401 4.335555557","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=ICA:EspacoAereoRestrio17set15","WFS","INDE","EspacoAereoRestrio17set15,features"
"MPOG:Ferrovias","pt","Ferrovias(MPOG:Ferrovias)","","-53.145924700361995 -27.17792470036199","-45.728075299638 -19.760075299638004","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:Ferrovias","WFS","INDE",""
"MPOG:GRRD","pt","GRRD(MPOG:GRRD)","","-45.009 -22.682","-38.523 -12.859","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:GRRD","WFS","INDE",""
"MPOG:GRRD_Barragem","pt","GRRD_Barragem(MPOG:GRRD_Barragem)","","-35.693 -8.619","-35.692 -8.6","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:GRRD_Barragem","WFS","INDE",""
"MPOG:GRRD_Barragem_A3_POINT","pt","GRRD_Barragem_A3_POINT(MPOG:GRRD_Barragem_A3_POINT)","","-35.692 -8.599","-35.692 -8.599","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:GRRD_Barragem_A3_POINT","WFS","INDE",""
"MPOG:Geracao_de_Energia_Eletrica","pt","Geracao_de_Energia_Eletrica(MPOG:Geracao_de_Energia_Eletrica)","","-67.04547999999998 -34.03248","-31.806520000000003 1.20648","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:Geracao_de_Energia_Eletrica","WFS","INDE",""
"MPOG:Gestao_RH_Bac_SFrancisco_Parnaiba","pt","Gestao_RH_Bac_SFrancisco_Parnaiba(MPOG:Gestao_RH_Bac_SFrancisco_Parnaiba)","","-47.568 -21.092","-36.274 -2.749","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:Gestao_RH_Bac_SFrancisco_Parnaiba","WFS","INDE",""
"MPOG:Gestao_RH_Bacia_SFranciso","pt","Gestao_RH_Bacia_SFranciso(MPOG:Gestao_RH_Bacia_SFranciso)","","-47.568 -21.091","-36.274 -7.267","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=MPOG:Gestao_RH_Bacia_SFranciso","WFS","INDE",""
"BNDES:IE_2009","pt","IE_2009(BNDES:IE_2009)","","-73.6320298587681 -31.8005870747262","-34.8596314626194 3.6058070000649","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:IE_2009","WFS","INDE","features,IE_2009"
"BNDES:IE_2010","pt","IE_2010(BNDES:IE_2010)","","-69.7783846689228 -32.6440729745871","-34.828756565886 3.6058070000649","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:IE_2010","WFS","INDE","IE_2010,features"
"BNDES:IE_2011","pt","IE_2011(BNDES:IE_2011)","","-73.6320298587681 -31.8005870747262","-34.7937031650182 3.6058070000649","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:IE_2011","WFS","INDE","IE_2011,features"
"BNDES:IE_2012","pt","IE_2012(BNDES:IE_2012)","","-73.9913915619595 -32.0166513994693","-34.7937031650182 3.6058070000649","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:IE_2012","WFS","INDE","IE_2012,features"
"BNDES:IE_2013","pt","IE_2013(BNDES:IE_2013)","","-65.6591415405273 -32.64407348547065","-34.8023414611816 3.6058070658451458","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:IE_2013","WFS","INDE","IE_2013,features"
"BNDES:IE_2014","pt","IE_2014(BNDES:IE_2014)","","-65.6964340209961 -32.64407348547065","-34.793701171875 3.6058070658451458","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:IE_2014","WFS","INDE","IE_2014,features"
"BNDES:IT_2009","pt","IT_2009(BNDES:IT_2009)","","-73.6320298587681 -33.7520136933788","-34.7937031650182 3.6058070000649","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:IT_2009","WFS","INDE","IT_2009,features"
"BNDES:IT_2010","pt","IT_2010(BNDES:IT_2010)","","-73.6320298587681 -33.7520136933788","-34.7937031650182 3.6058070000649","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:IT_2010","WFS","INDE","features,IT_2010"
"BNDES:IT_2011","pt","IT_2011(BNDES:IT_2011)","","-73.9913915619595 -33.7520136933788","-34.7937031650182 4.43665587655256","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:IT_2011","WFS","INDE","features,IT_2011"
"BNDES:IT_2012","pt","IT_2012(BNDES:IT_2012)","","-73.6320298587681 -33.7520136933788","-34.7937031650182 4.43665587655256","","http://www.geoservicos.inde.gov.br/geoserver/wfs?request=GetFeature&service=wfs&acceptFormats=application%2Fxml&typename=BNDES:IT_2012","WFS","INDE","IT_2012,features"
