Termo,TermoGeral,Descricao
"Atividade rural","",""
"Avaliação ambiental estratégica","","é um instrumento que possibilita um melhor planejamento das ações a serem adotadas, potencializando os resultados a partir do maior conhecimento da capacidade de carga do meio ambiente em que serão desenvolvidos os projetos. Permite também o reconhecimento da possibilidade de ocorrência de impactos indiretos que não são considerados nas avaliações tradicionais. Além disso, também são considerados nesse trabalho os efeitos resultantes de projetos que não requerem avaliação ambiental e o impacto sinergético, conceito que considera o impacto total maior que a mera soma dos individuais. (Fonte: BRASIL. Tribunal de Contas da União. Ata 48/2003 - Plenário Sessão 03/12/2003. Relatório do Ministro relator. Disponível em:< http://portal3.tcu.gov.br/portal/page/portal/TCU/comunidades/programas_governo/areas_atuacao/ind_com_serv/TC%20018.166.2002-4%20VT.1852.pdf> Acesso em: 03 out 2014). "
"Aviação agrícola","Aviação",""
"Bacia hidrográfica","","Região compreendida entre divisores de água, na qual toda a água aí precipitada escoa por um único exutório. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e emio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Bacia sedimentar","","Depressão da crosta terrestre onde se acumulam rochas sedimentares que podem ser portadoras de petróleo ou gás, associados ou não. (Fonte: BRASIL. Lei nº 9.478, de 6 de agosto de 1997. Dispõe sobre a política energética nacional, as atividades relativas ao monopólio do petróleo, institui o Conselho Nacional de Política Energética e a Agência Nacional do Petróleo e dá outras providências. Disponível em: <http://www.planalto.gov.br/ccivil_03/leis/l9478.htm> Acesso em: 06 mar 2013). "
"Banco de areia","","Banco de areia submergida, resultante da deposição natural sobre o leito de um curso de água. (Fonte: UNESCO. Glossário Internacional de Hidrologia. Disponível em:<http://webworld.unesco.org/water/ihp/db/glossary/glu/HINDPT.HTM> Acesso em: 21 jun 2013). "
"Barreira","","Parte de um maciço suscetível de deslizamento. (Fonte: BRASIL. Departamento Nacional de Infra-Estrutura de Transportes. Glossário de termos técnicos ambientais rodoviários.  Rio de Janeiro, 2006. Disponível em: <http://www.dnit.gov.br/planejamento-e-pesquisa/coordenacao-geral-de-meio-ambiente/glossario-de-termos-tecnicos-ambientais-rodoviarios-1/?searchterm=glossario> Acesso em: 24 jun 2013). "
"Biocombustível","Combustível","Combustível derivado de biomassa renovável para uso em motores a combustão interna ou, conforme regulamento, para outro tipo de geração de energia, que possa substituir parcial ou totalmente combustíveis de origem fóssil (Fonte:BRASIL. Lei nº 11.097 de 13 de janeiro de 2005. Dispõe sobre a introdução do biodiesel na matriz energética brasileira; altera as Leis nos 9.478, de 6 de agosto de 1997, 9.847, de 26 de outubro de 1999 e 10.636, de 30 de dezembro de 2002; e dá outras providências. Disponível em: <http://www.planalto.gov.br/ccivil_03/_ato2004-2006/2005/Lei/L11097.htm> Acesso em: 07 mar 2013). "
"Biodiesel","","Combustível renovável derivado de óleos vegetais, como girassol, mamona, soja, babaçu e demais oleaginosas, ou de gorduras animais, usado em motores a diesel, em qualquer concentração de mistura com o diesel. Produzido através de um processo químico que remove a glicerina do óleo. (Fonte: BIODIESELBR. O que é o Biodiesel? Disponível em: <http://www.biodieselbr.com/biodiesel/definicao/o-que-e-biodiesel.htm> Acesso em: 16 nov 2012). "
"Biodiversidade","","Total de genes, espécies e ecossistemas de uma região. A biodiversidade genética refere-se à variação dos genes dentro das espécies, cobrindo diferentes populações da mesma espécie ou a variação genética dentro de uma população. A diversidade de espécies refere-se à variedade de espécies existentes dentro de uma região. A diversidade de ecossistemas refere-se à variedade de ecossistemas de uma dada região. A diversidade cultural humana também pode ser considerada parte da biodiversidade, pois alguns atributos das culturas humanas representam soluções aos problemas de sobrevivência em determinados ambientes. A diversidade cultural manifesta-se pela diversidade de linguagem, crenças religiosas, práticas de manejo da terra, arte, música, estrutura social e seleção de cultivos agrícolas, dentre outros.  (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Bioma","","Conjunto de vida (vegetal e animal) definida pelo agrupamento de tipos de vegetação contíguos e identificáveis em escala regional, com condições geoclimáticas similares e história compartilhada de mudanças, resultando em uma diversidade biológica própria. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e emio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Biopirataria","","É o envio ilegal de elementos da fauna e da flora de um determinado país para o estrangeiro com fins industriais ou medicinais (cosméticos e remédios). (Fonte:  MUNDO EDUCAÇÃO. O que é biopirataria? Disponível em:<http://www.mundoeducacao.com/biologia/biopirataria.htm> Acesso em: 05 set 2014). "
"Bioprospecção","","A busca sistemática por organismos, genes, enzimas, compostos, processos e partes provenientes de seres vivos em geral (coletivamente chamados de recursos genéticos) que possam, eventualmente, levar ao desenvolvimento de um produto. É relevante para uma ampla gama de setores e atividades, incluindo biotecnologia, agricultura, nutrição, indústria farmacêutica e de cosméticos, biorremediação, saúde, entre outros. (Fonte: SACCARO JÚNIOR, Nilo Luiz. Bioprospecção e desenvolvimento sustentável. Disponível em:< http://www.ipea.gov.br/desafios/index.php?option=com_content&view=article&id=2795:catid=28&Itemid=23> Acesso em: 05 set 2014). "
"Bioquerosene de aviação","","Substância derivada de biomassa renovável que pode ser usada em turborreatores e turbopropulsores aeronáuticos ou, conforme regulamento, em outro tipo de aplicação que possa substituir parcial ou totalmente combustível de origem fóssil. (Fonte: BRASIL. Lei nº 9.478, de 6 de agosto de 1997. Dispõe sobre a política energética nacional, as atividades relativas ao monopólio do petróleo, institui o Conselho Nacional de Política Energética e a Agência Nacional do Petróleo e dá outras providências. Disponível em: <http://www.planalto.gov.br/ccivil_03/leis/l9478.htm> Acesso em: 06 mar 2013). "
"Biossegurança","","Conjunto de ações de segurança destinadas a prevenir, controlar, reduzir ou eliminar riscos inerentes às atividades que possam comprometer a saúde humana, animal ou vegetal e o meio ambiente. (Fonte: BRASIL. Ministério da Saúde. Ciência e tecnologia em saúde: glossário temático. Disponível em:<http://bvsms.saude.gov.br/bvs/publicacoes/glossario_tematico_ciencia_tecnologia_saude.pdf> Acesso em: 13 maio 2014). "
"Biota","","Denominação utilizada para o conjunto da fauna e flora de uma determinada região. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Bovinocultura","","atividade pecuária destinada a criação de gado bovino. Dividida em bovinocultura de corte, para produção de carnes e peles e bovinocultura de leite. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Brigada de incêndio","","Grupo organizado de pessoas, voluntárias ou não, treinadas e capacitadas em prevenção e combate a incêndios e primeiros socorros, para atuação em edificações ou áreas de risco. (Fonte: SÃO PAULO. Secretaria de Estado dos Negócios da Segurança Pública. Instrução técnica nº 3, de 2011. Disponível em:<http://www.bombeiros.com.br/br/utpub/instrucoes_tecnicas/IT%2003.pdf> Acesso em: 16 ago 2013). "
"Campo de petróleo","","Área produtora de petróleo, a partir de um reservatório contínuo ou de mais de um reservatório, a profundidades variáveis, abrangendo instalações e equipamentos destinados à produção. (Fonte: BRASIL. Lei nº 9.478, de 6 de agosto de 1997. Dispõe sobre a política energética nacional, as atividades relativas ao monopólio do petróleo, institui o Conselho Nacional de Política Energética e a Agência Nacional do Petróleo e dá outras providências. Disponível em: <http://www.planalto.gov.br/ccivil_03/leis/l9478.htm> Acesso em: 06 mar 2013). "
"Caprinocultura","","atividade pecuária destinada a criação de cabras. Dividida em caprinocultura de corte, para produção de carnes e peles e caprinocultura de leite. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Carvão","Combustível fóssil","O carvão é um combustível fóssil e é obtido através dos restos de vegetação pré-históricas que originariamente se acumularam em pântanos e turfeiras. (Fonte: MEIO AMBIENTE. O que é o carvão? Disponível em: <http://meioambiente.culturamix.com/recursos-naturais/o-que-e-o-carvao> Acesso em: 17 dez 2012). "
"Certificação ambiental","","Certificação de produtos/serviços com qualidade ambiental que atesta, através de uma marca colocada no produto ou na embalagem, que determinado produto/serviço (adequado ao uso) apresenta menor impacto ambiental em relação a outros produtos 'comparáveis' disponíveis no mercado. (Fonte: COSTA, Carlos Eduardo Lustosa da. As licitações sustentáveis na ótica do controle externo. Disponível em:< http://portal2.tcu.gov.br/portal/pls/portal/docs/2435919.PDF> Acesso em: 18 jun 2013). "
"Certificado de depósito agropecuário","","é um título no qual são registradas todas as condições do depósito. Esse título é registrado eletronicamente e comercializado na bolsa de mercadorias e no mercado financeiro. Os investidores que não querem comprar produto agrícola poderão comprar um papel que representa o preço de um produto agrícola e poder revendê-lo em outra ocasião. (Fonte: ORMOND, José Geraldo Pacheco.  Glossário de termos usados em atividades agropecuárias, florestais e ciências ambientais. BNDES, 2006. Disponível em: <http://www.mma.gov.br/estruturas/sqa_pnla/_arquivos/glossrio_bndes_textodoc_46.pdf> Acesso em: 22 jun 2015). "
"Chorume","","Líquido escuro de composição bastante variável que adquiriu características poluentes devido ao seu contato com uma massa de resíduo sólido em decomposição. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Chuva","","Precipitação de partículas de água líquida, quer sob a forma de gotas com mais de 0.5 mm de diâmetro, quer sob a forma de gotas mais pequenas e dispersas. (Fonte: UNESCO. Glossário Internacional de Hidrologia. Disponível em:< http://webworld.unesco.org/water/ihp/db/glossary/glu/HINDPT.HTM> Acesso em: 21 jun 2013). "
"Chuva ácida","Chuva","Chuva enriquecida em substâncias ácidas tais como ácido sulfúrico e ácido nítrico, sendo tais substâncias produzidas pela combinação da água atmosférica com os óxidos liberados após a queima de hidrocarbonetos, ou liberados por instalações industriais. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Clima","","Conjunto de estados de tempo meteorológico que caracteriza uma determinada região durante um grande período de tempo, incluindo o comportamento habitual e as flutuações, resultante das complexas relações entre a atmosfera, geosfera, hidrosfera, criosfera e biosfera. Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA.  Vocabulário básico de recursos naturais e emio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Código de mineração","","define os direitos sobre as jazidas e minas, estabelece o regime do seu aproveitamento e regula a intervenção do Estado na indústria de mineração, bem como a fiscalização das empresas que utilizam matéria prima mineral (Fonte: BRASIL. Decreto-lei nº 1.985, de 29 de março de 1940.  Código de minas. Disponível em:< http://www.planalto.gov.br/ccivil_03/decreto-lei/1937-1946/Del1985.htm> Acesso em: 09 out 2014). "
"Coleta de resíduo sólido","","Retirada de material sólido resultante de atividades domiciliares, comerciais, públicas, industriais, de unidades de saúde etc., acondicionado em sacos plásticos  e/ou recipientes ou colocados em logradouros, calçadas e destinados a vazadouros, aterros, etc.(Fonte: IBGE. Atlas de saneamento. In:______. Glossário. Rio de Janeiro : IBGE, 2004. P. 145. Disponível em: http://www.ibge.gov.br/home/estatistica/populacao/atlas_saneamento/. Acesso em: 13 mar 2013). "
"Coleta seletiva","Coleta de resíduo sólido","Separação e acondicionamento de materiais recicláveis em sacos ou recipientes nos locais onde o lixo é produzido, objetivando, inicialmente, separar os resíduos orgânicos (restos de alimentos, cascas de frutas, legumes etc.) dos resíduos inorgânicos (papéis, vidros, plásticos, metais etc.). Esta prática facilita a reciclagem porque os materiais, estando mais limpos, têm maior potencial de reaproveitamento e comercialização. (Fonte:IBGE. Atlas de saneamento. In:______. Glossário. Rio de Janeiro : IBGE, 2004. P. 145. Disponível em: http://www.ibge.gov.br/home/estatistica/populacao/atlas_saneamento/. Acesso em: 22 jul 2013). "
"Colônia agrícola indígena","Organização agrária","Área destinada à exploração agropecuária, administrada pelo órgão de assistência ao índio, onde convivam tribos aculturadas e membros da comunidade nacional. (Fonte: BRASIL. Ministério Público Federal.O que é lixo orgânico e inorgânico. Disponível em: <http://gesto.prdf.mpf.mp.br/legislacao-e-outros-documentos/o_que_e_lixo_organico_e_inorganico.pdf> Acesso em: 14 ago 2013). "
"Combate ao fogo","","Conjunto de ações táticas destinadas a extinguir ou isolar o incêndio com uso de equipamentos manuais ou automáticos. (Fonte: SÃO PAULO. Secretaria de Estado dos Negócios da Segurança Pública. Instrução técnica nº 3, de 2011. Disponível em:<http://www.bombeiros.com.br/br/utpub/instrucoes_tecnicas/IT%2003.pdf> Acesso em: 16 ago 2013). "
"Combustível","","Denominação aplicada a uma substância que é oxidada em uma reação de combustão. É a substância que sofre queima quando em presença de oxigênio do ar. (Fonte: INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA. Vocabulário básico de recursos naturais e meio ambiente. 2. ed.  Rio da Janeiro, 2004. Disponível em:< http://www.ibge.gov.br/home/presidencia/noticias/vocabulario.pdf> Acesso em: 20 jun 2013). "
"Combustível fóssil","Combustível","Um combustível tal como o carvão, o petróleo ou o gás natural, formado a partir dos restos apodrecidos de plantas e animais pré-históricos. (Meredith, 2010); Combustível como o carvão, petróleo e gases naturais, formado a partir de plantas e animais durante milhões de anos. (Revolução verde, 2009); Materiais a base de carbono, tais como petróleo, carvão e gás natural formado a partir dos fósseis de plantas e animais antigos. Os combustíveis fósseis são queimados para produzir energia e eletricidade. (Murphy, 2008); Produtos derivados de restos de animais e plantas que viveram na Terra em épocas anteriores à aparição do homem, como o carvão mineral, o petróleo e o gás natural. Também se chamam fontes energéticas não renováveis, pois uma vez esgotadas não voltam a gerar-se mais. (Consumo, 2002) (Fonte: IBICT. Avaliação do Ciclo de Vida. Disponível em: http://acv.ibict.br/. Acesso em: 25 fev 2013). "
